"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"A Safety and Efficacy Study to Evaluate Wound Healing","Recruiting","No Results Available","Wound Heal","Drug: AIV001","Cosmetic Laser Dermatology, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT03639883"
2,"Wound Eversion Versus Planar Closure for Face or Neck Wounds","Completed","No Results Available","Operative Wound","Other: Everted closure|Other: Planar closure","University of California, Davis, Department of Dermatology, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT03302988"
3,"Single-Use Negative Pressure Wound Therapy for Free Flap Donor Sites","Active, not recruiting","No Results Available","Surgical Wound","Device: PICO Single Use Negative Pressure Wound Therapy System|Device: xeroform gauze","University of Alabama at Birmingham, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT03340025"
4,"Topical Collagen Powder for Healing of Acute Full-thickness Wounds","Completed","No Results Available","Wound of Skin|Wound Heal","Device: Nuvagen Collagen Powder","George Washington Medical Faculty Associates, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT03481907"
5,"PROphylactic Wound VACuum Therapy to Decrease Rates of Cesarean Section in the Obese Population","Completed","Has Results","Wound Complication","Device: Closed incision wound vacuum (Prevena)","University of Pennsylvania, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02128997"
6,"A Retrospective Analysis of Laboratory Testing on Chronic Wound Patients","Completed","No Results Available","Wound Chronic Draining",,"Southwest Regional Wound Care Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT02142426"
7,"Cytal® Wound Matrix and MicroMatrix® Wound Study","Recruiting","No Results Available","Wounds","Device: ACell Arm","NYU Winthrop Hospital, Long Island City, New York, United States","https://ClinicalTrials.gov/show/NCT03632954"
8,"Doubleblinded RCT of the Omnilux on Lower Extremity Surgical Wounds Left to Heal by Second Intention","Terminated","Has Results","Wound","Device: Omnilux|Device: Omnilux Sham","University of Miami Hospital and Clinics/Sylvester Comprehensive Cancer Center, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT02383056"
9,"Collection of Samples for the Evaluation of Wound Biofilm in Acute and Chronic Wounds","Completed","No Results Available","Wounds","Other: no treatment","Southwest Regional Wound Care Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT00764296"
10,"Impact of V.A.C. Veraflo Therapy in Wounds Requiring Debridement Within an Orthopedic Practice","Completed","No Results Available","Wounds and Injuries","Device: NPWT with Instillation|Device: NPWT","Rubin Institute for Advanced Orthopedics, Sinai Hospital of Baltimore, LifeBridge Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02266771"
